"quote_id","crime_index"
1,"42.2, 42.1, 31.2, 26.3, 25.3, 46.7"
2,"47.7"
3,"35.6604651162791, 40.9"
4,"49.3"
5,"47.4"
6,"26"
7,"46.1"
8,"47.7"
9,"46.7, 40.9, 41.2"
10,"30.92"
11,"54.78"
12,"22.6"
13,"47.3, 38.9, 32.8, 32.6"
14,"22.6"
15,"35.6604651162791"
16,"49.3"
17,"47.74"
18,"37.25"
19,"59.3, 67.8, 62.1"
20,"26, 24.2, 29.3, 26.8, 30.7, 37.4, 23.8, 32.8, 26.3"
21,"79.7"
22,"37.9, 50.7, 24.9"
23,"47.1"
24,"22.6"
25,"22.6"
26,"16.7, 21.62"
27,"38.9"
28,"47.4"
29,"22.6"
30,"46.7, 36.2"
31,"50.7"
32,"49.3"
33,"48.36"
34,"15.6, 47.4, 37.9"
35,"22.6"
36,"47.3, 26, 50.7"
37,"64.17, 36.28"
38,"46.1, 23.5"
39,"24.9"
40,"35.6604651162791"
41,"47.3"
42,"49.3, 57.3"
43,"23.5, 50.7"
44,"35.6604651162791"
45,"46.1, 33.7"
46,"42.2"
47,"61.2, 47.16, 53.7, 48.4, 52.2, 73.4, 59.5, 53, 68.86, 62.1"
48,"37.9, 43.2"
49,"47.1, 47.7"
50,"47.1"
51,"35.6604651162791"
52,"75.4"
53,"36.28"
54,"48.36"
55,"35.05"
56,"47.4"
57,"47.1, 30.81"
58,"36.28"
59,"35.6604651162791"
60,"46.1"
61,"47.1"
62,"57.3"
63,"48.36"
64,"38.216"
65,"42.2"
66,"55.3, 47.4, 26.3"
67,"47.1, 47.7"
68,"56.4"
69,"40.9"
70,"48.36"
71,"22.6"
72,"47.1"
73,"47.4"
74,"55.3, 47.4"
75,"22.6"
76,"47.7"
77,"47.1"
78,"48.36"
79,"46.1"
80,"22.6"
81,"57.3"
82,"25.3, 45.2"
83,"47.1"
84,"23.5"
85,"38.216, 50.7"
86,"36.82"
87,"55.3"
88,"37.9, 48.36, 42.2"
89,"38.216"
90,"37.7"
91,"47.4"
92,"47.4"
93,"42.8"
94,"24.9"
95,"37.9"
96,"47.4, 36.2, 47.3"
97,"67.8, 49.3"
98,"22.6"
99,"47.1"
100,"54.78"
101,"37.9"
102,"57.3"
103,"47.4, 55.3, 26.3, 48.4, 32.6"
104,"45.2"
105,"35.6604651162791, 47.4, 40.9, 37.9, 46.5, 46.1, 22.6, 47.3, 42.2, 44.3"
106,"22.6"
107,"45.6161971830986"
108,"47.4"
109,"55.3"
110,"65.6"
111,"42.06"
112,"47.1"
113,"47.3, 55.3, 36.2"
114,"49.3"
115,"23.5, 37.9"
116,"55.3"
117,"48.36"
118,"47.7"
119,"46.1"
120,"38.216"
121,"46.1"
122,"24.9, 47.4, 16.7"
123,"47.4"
124,"36.2"
125,"47.7"
126,"42.2"
127,"49.3, 68.86"
128,"38.216"
129,"23.5, 47.4, 37.9, 47.3, 55.3"
130,"48.36"
131,"46.1"
132,"35.6604651162791, 26.3, 38.9, 55.3"
133,"46.1"
134,"48.36"
135,"48.36"
136,"46.1"
137,"47.4"
138,"52.8, 42.2"
139,"49.3"
140,"36.2, 31.2, 46.5"
141,"37.9"
142,"22.6"
143,"47.1"
144,"22.6"
145,"47.1, 47.7"
146,"48.36"
147,"35.6604651162791"
148,"48.36"
149,"35.6604651162791"
150,"46.1"
151,"47.1"
152,"50.7, 37.9"
153,"47.7"
154,"49.3"
155,"23.5, 50.7"
156,"21.62, 22.6, 24.9"
157,"46.1"
158,"40.9, 40.4, 35.6604651162791, 26.9"
159,"75.4"
160,"57.3"
161,"16.3"
162,"48.36"
163,"38.9"
164,"42.8"
165,"45.2"
166,"47.4"
167,"46.1, 44.3, 37.9"
168,"42.2"
169,"46.1"
170,"30.7"
171,"47.3, 55.3, 47.4"
172,"47.7"
173,"35.6604651162791, 38.216"
174,"38.9"
175,"37.9"
176,"47.4, 55.3"
177,"51.7308333333333, 21.62, 42.8"
178,"46.1"
179,"48.36"
180,"47.1"
181,"47.3, 47.4, 55.3, 26.3, 46.5, 36.2"
182,"42.2"
183,"35.6604651162791"
184,"37.9"
185,"37.9"
186,"46.1"
187,"42.1"
188,"48.36"
189,"49.3"
190,"46.1"
191,"49.3, 47.4"
192,"57.3"
193,"47.1"
194,"42.2, 21.62"
195,"47.4"
196,"49.3"
197,"48.36"
198,"45.2, 49.3"
199,"37.9"
200,"47.7"
201,"23.5, 50.7"
202,"37.9"
203,"48.36"
204,"79.7"
205,"46.1"
206,"40.9"
207,"50.7, 21.62"
208,"37.9, 44.3"
209,"46.5"
210,"44.39"
211,"51.7308333333333"
212,"35.6604651162791"
213,"23.5, 47.4, 26.3, 38.9"
214,"47.7"
215,"48.36"
216,"48.36"
217,"45.2"
218,"57.3"
219,"37.9"
220,"36.28"
221,"46.1"
222,"48.4, 32.6, 26.3, 16"
223,"55.3"
224,"48.36"
225,"22.6"
226,"47.7"
227,"47.3, 36.2"
228,"24.9"
229,"47.4"
230,"35.6604651162791"
231,"38.216"
232,"46.1"
233,"46.1"
234,"46.7"
235,"21.62"
236,"22.6, 16.7"
237,"24.9"
238,"45.2"
239,"46.1"
240,"48.36"
241,"50.7, 48.36, 37.9, 43.2"
242,"22.6"
243,"49.3"
244,"47.4, 49.3, 45.2"
245,"47.1"
246,"38.9, 33.7, 29.3, 26.3"
247,"47.1"
248,"48.36"
249,"37.9, 23.5"
250,"21.62, 24.9"
251,"35.6604651162791"
252,"46.1"
253,"35.6604651162791"
254,"49.3"
255,"47.1"
256,"47.1"
257,"24.9, 23.5"
258,"42.8"
259,"49.3"
260,"47.4"
261,"22.6, 50.7, 24.9"
262,"46.1"
263,"46.1, 23.5, 49.3"
264,"35.6604651162791, 68.86, 61.2, 59.5, 52.2"
265,"46.5, 47.4, 16.7, 25.4"
266,"23.5, 37.9"
267,"47.7"
268,"49.3"
269,"35.6604651162791"
270,"22.6, 24.9"
271,"24.92"
272,"45.2"
273,"47.1"
274,"42.8"
275,"54.78"
276,"35.6604651162791, 23.5"
277,"47.1"
278,"48.13, 45.2"
279,"47.7"
280,"35.6604651162791"
281,"46.1"
282,"10, 67.8, 59.3, 65.6, 64.2"
283,"35.6604651162791"
284,"48.36, 37.9"
285,"35.6604651162791"
286,"22.6"
287,"42.2, 37.9"
288,"22.6"
289,"47.7"
290,"48.36"
291,"42.2"
292,"35.6604651162791"
293,"48.36"
294,"37.9"
295,"22.6, 24.9"
296,"23.5, 37.9, 42.2, 50.7"
297,"22.6"
298,"37.9"
299,"38.9"
300,"47.1, 35.6604651162791, 37.9"
301,"47.1"
302,"47.1"
303,"57.3"
304,"47.4, 47.3, 26, 41.2"
305,"57.3"
306,"49.3"
307,"35.6604651162791"
308,"37.9, 22.6"
309,"48.36"
310,"47.1"
311,"44.3"
312,"47.4"
313,"48.36"
314,"22.6"
315,"22.6"
316,"47.1"
317,"22.6"
318,"57.3"
319,"37.9, 36.28, 50.4, 16.7, 21.62, 22.6, 24.9"
320,"21.62, 22.6"
321,"42.2, 52.8, 37.9"
322,"35.6604651162791"
323,"47.1"
324,"29.3, 47.3, 47.4"
325,"22.6"
326,"35.6604651162791, 22.6"
327,"47.7"
328,"47.7"
329,"38.216"
330,"63.8363636363636, 10"
331,"45.2"
332,"45.2"
333,"49.3"
334,"55.3"
335,"38.9, 29.3"
336,"37.9"
337,"42.1"
338,"22.6"
339,"47.1"
340,"35.05"
341,"47.7"
342,"35.6604651162791, 48.36"
343,"42.2"
344,"53.8"
345,"47.1"
346,"42.8"
347,"48.36"
348,"37.9"
349,"35.6604651162791"
350,"22.6"
351,"49.3"
352,"22.6"
353,"46.1, 44.3, 37.9"
354,"47.1"
355,"49.3"
356,"42.2"
357,"50.7"
358,"38.216"
359,"51.7308333333333, 47.1"
360,"42.2"
361,"46.1"
362,"36.2, 47.3, 47.4"
363,"22.6"
364,"57.3"
365,"37.9, 42.2"
366,"35.6604651162791, 49.3, 46.7"
367,"42.1"
368,"35.6604651162791"
369,"47.7"
370,"47.7"
371,"23.5"
372,"15.6"
373,"22.6"
374,"47.1"
375,"46.1"
376,"45.2"
377,"49.3"
378,"22.6"
379,"35.6604651162791"
380,"47.4, 16.3, 55.3"
381,"47.1"
382,"49.3"
383,"47.4, 55.3, 48.4, 26.3"
384,"47.1"
385,"46.1"
386,"48.36"
387,"22.6"
388,"47.7"
389,"22.6"
390,"49.3, 61.2"
391,"22.6"
392,"38.216"
393,"35.6604651162791, 63.8363636363636"
394,"49.3"
395,"24.9"
396,"46.1"
397,"47.1"
398,"46.1"
399,"48.36"
400,"24.9"
401,"36.2"
402,"47.4"
403,"38.9, 47.4, 23.5, 50.7, 29.3, 33.7"
404,"35.6604651162791"
405,"42.8"
406,"49.3"
407,"22.6"
408,"47.4"
409,"47.7"
410,"57.3"
411,"22.6"
412,"22.6, 42.8, 24.9"
413,"57.3"
414,"47.1"
415,"47.1"
416,"45.2"
417,"40.9"
418,"47.4"
419,"52.8"
420,"51.7308333333333"
421,"63.9"
422,"47.7"
423,"42.2"
424,"38.216"
425,"48.36"
426,"57.3"
427,"47.1"
428,"46.1"
429,"22.6"
430,"57.3"
431,"47.7"
432,"50.7"
433,"45.2"
434,"49.3, 53.8, 64.2"
435,"47.7, 37.9, 55.3"
436,"42.2"
437,"35.6604651162791"
438,"49.3, 45.2"
439,"47.1"
440,"47.7"
441,"50.7, 75.4"
442,"37.9"
443,"46.5, 31.2"
444,"24.9"
445,"55"
446,"47.7"
447,"47.7"
448,"22.6"
449,"52.8"
450,"23.5, 47.1"
451,"57.3"
452,"25.3, 47.3, 29.3, 15.6"
453,"46.1"
454,"51.7308333333333"
455,"61.2"
456,"47.4, 26.3, 55.3"
457,"55, 23.5"
458,"48.36"
459,"24.9"
460,"59.3, 61.2"
461,"37.9"
462,"31.2"
463,"37.9"
464,"22.6"
465,"22.6"
466,"22.6"
467,"47.1"
468,"47.1"
469,"42.8"
470,"23.5"
471,"47.1"
472,"47.7"
473,"31.2, 36.2, 55.3, 41.2"
474,"49.3"
475,"37.9"
476,"45.2"
477,"45.2"
478,"79.7"
479,"36.28, 64.17"
480,"49.3"
481,"44.3"
482,"23.79"
483,"64.17, 36.28"
484,"46.1"
485,"22.6"
486,"49.3"
487,"47.3, 50.7, 23.5"
488,"46.75"
489,"46.1"
490,"22.6"
491,"26.9, 40, 40.9, 40.4"
492,"48.36"
493,"47.4"
494,"49.3, 45.2, 25.4"
495,"47.4, 35.6604651162791, 46.5"
496,"36.2"
497,"45.2, 49.3"
498,"47.7"
499,"55.3, 25.3, 38.9, 31.2"
500,"24.9"
501,"46.1"
502,"37.9"
503,"48.36"
504,"40.9, 47.3, 40.4"
505,"49.3"
506,"47.1"
507,"22.6"
508,"22.6"
509,"47.1"
510,"47.5"
