quote_id,healthcare_index,sent_mean
1,"61.4, 71, 72.5, 79.3, 71.7, 57.6",0.1648
2,68.6,0.113228
3,"65.0763157894737, 71.1",0.103747
4,68,0.288284
5,73.2,0.20085
6,65,0.159717
7,60.8,0.005872
8,68.6,0.113228
9,"57.6, 71.1, 51.9",0.0503947368421052
10,64.12,0.155578
11,56.25,0.104983
12,79.7,0.106269
13,"65.3, 72, 74.9, 76",0.0521410714285714
14,79.7,0.106269
15,65.0763157894737,0.01022
16,68,0.288284
17,72.84,0.036889
18,57.2,-0.11634
19,"63.3, 56.3, 68.4",-0.058504
20,"65, 66.3, 77.2, 75.6, 57.7, 62.4, 75.9, 74.9, 77.5",0.0874051948051948
21,23.86,0.233491
22,"77.2, 70.2, 83",0.339193
23,73.1,0.026101
24,79.7,0.106269
25,79.7,0.106269
26,"86.4, 66.53",-0.137993
27,72,-0.032063
28,73.2,0.20085
29,79.7,0.106269
30,"57.6, 77.7",0.069876
31,70.2,0.148847
32,68,0.288284
33,60.8,0.005872
34,"70.4, 73.2, 77.2",0.206547435897436
35,79.7,0.106269
36,"65.3, 65, 70.2",0.243857142857143
37,"61.11, 40.51",0.0994430379746835
38,"60.8, 71.9",0.203699
39,68.3,-0.108925
40,65.0763157894737,0.01022
41,65.3,0.055561
42,"68, 48.45",0.00458399999999999
43,"71.9, 70.2",0.095193
44,65.0763157894737,0.01022
45,"60.8, 56.4",0.0959890410958904
46,61.4,0.11136
47,"68.2, 60.1, 63.8, 68.3, 61.21, 37.01, 67.3, 47.37, 72.4, 68.4",0.180766666666667
48,"77.2, 59.1",-0.043313
49,"73.1, 68.6",0.068949
50,73.1,0.026101
51,65.0763157894737,0.01022
52,63.8,0.08694
53,40.51,0.211499
54,60.8,0.005872
55,73.1,0.026101
56,73.2,0.20085
57,"73.1, 79.17",0.26215
58,40.51,0.211499
59,65.0763157894737,0.01022
60,60.8,0.005872
61,73.1,0.026101
62,48.45,0.038279
63,60.8,0.005872
64,66.0842105263158,0.240416
65,61.4,0.11136
66,"77.8, 73.2, 79.3",0.115423076923077
67,"73.1, 68.6",0.068949
68,61.5,-0.043051
69,71.1,0.160342
70,60.8,0.005872
71,79.7,0.106269
72,73.1,0.026101
73,73.2,0.20085
74,"77.8, 73.2",0.123612
75,79.7,0.106269
76,68.6,0.113228
77,73.1,0.026101
78,60.8,0.005872
79,60.8,0.005872
80,79.7,0.106269
81,48.45,0.038279
82,"71.7, 69.1",0.237245
83,73.1,0.026101
84,71.9,0.094695
85,"66.0842105263158, 70.2",0.240881
86,69.1,0.009625
87,77.8,-0.204998
88,"77.2, 60.8, 61.4",0.303359
89,66.0842105263158,0.240416
90,57.2,-0.11634
91,73.2,0.20085
92,73.2,0.20085
93,67.1,-0.043252
94,68.3,-0.108925
95,77.2,0.049439
96,"73.2, 77.7, 65.3",0.248107
97,"56.3, 68",0.057087
98,79.7,0.106269
99,73.1,0.026101
100,56.25,0.104983
101,77.2,0.049439
102,48.45,0.038279
103,"73.2, 77.8, 78.5, 68.3, 76",0.0966493150684931
104,69.1,0.009625
105,"65.0763157894737, 73.2, 71.1, 77.2, 46.5, 60.8, 79.7, 47.5, 61.4, 65.4",-0.021408
106,79.7,0.106269
