"quote_id","low_season","medium_season","high_season"
1,1,1,1
2,0,1,0
3,0,1,0
4,1,0,0
5,1,0,0
6,0,0,1
7,0,0,1
8,0,0,1
9,1,1,0
10,1,0,0
11,0,1,0
12,0,0,1
13,0,1,1
14,0,0,1
15,0,0,1
16,1,0,0
17,1,0,0
18,0,1,0
19,0,0,1
20,1,1,0
21,0,0,1
22,0,0,1
23,1,0,0
24,1,0,0
25,0,1,0
26,0,1,0
27,0,0,1
28,0,0,1
29,1,0,0
30,1,0,0
31,0,0,1
32,0,0,1
33,1,0,0
34,0,0,1
35,0,0,1
36,0,1,1
37,0,0,1
38,0,0,1
39,1,0,0
40,0,1,0
41,0,1,0
42,1,0,0
43,0,0,1
44,0,1,0
45,0,0,1
46,1,0,0
47,1,1,1
48,1,0,1
49,0,1,1
50,1,0,0
51,1,0,0
52,0,0,1
53,0,1,0
54,0,0,1
55,0,0,1
56,0,1,0
57,0,1,1
58,0,0,1
59,1,0,0
60,0,0,1
61,1,0,0
62,0,0,1
63,0,0,1
64,0,0,1
65,0,1,0
66,0,1,1
67,0,0,1
68,0,1,0
69,0,1,0
70,0,1,0
71,0,1,0
72,1,0,0
73,0,1,0
74,0,0,1
75,0,1,0
76,0,0,1
77,1,0,0
78,0,0,1
79,0,0,1
80,0,0,1
81,0,1,0
82,1,0,0
83,0,0,1
84,0,0,1
85,1,0,0
86,1,0,0
87,0,0,1
88,1,0,1
89,0,0,1
90,0,0,1
91,1,0,0
92,1,0,0
93,1,0,0
94,0,0,1
95,1,0,0
96,1,0,0
97,0,1,1
98,0,0,1
99,0,0,1
100,0,0,1
101,1,0,0
102,0,0,1
103,0,1,1
104,1,0,0
105,1,1,1
106,0,0,1
107,0,0,1
108,1,0,0
109,0,0,1
110,0,0,1
111,1,0,0
112,0,0,1
113,1,1,0
114,0,0,1
115,1,0,0
116,0,1,0
117,1,0,0
118,0,1,0
119,1,0,0
120,1,0,0
121,0,0,1
122,1,1,0
